Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,bark/whine vocalization,Not defined,,POINT,306.575,306.575,NA,VIDEO\Waffle.MOV,9193,9193,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,bark/whine vocalization,Not defined,,POINT,310.010,310.010,NA,VIDEO\Waffle.MOV,9296,9296,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,looking at owner,Not defined,,POINT,311.010,311.010,NA,VIDEO\Waffle.MOV,9326,9326,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,bark/whine vocalization,Not defined,,POINT,313.978,313.978,NA,VIDEO\Waffle.MOV,9415,9415,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,bark/whine vocalization,Not defined,,POINT,316.112,316.112,NA,VIDEO\Waffle.MOV,9479,9479,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,bark/whine vocalization,Not defined,,POINT,319.780,319.780,NA,VIDEO\Waffle.MOV,9589,9589,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,bark/whine vocalization,Not defined,,POINT,325.717,325.717,NA,VIDEO\Waffle.MOV,9767,9767,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,looking at owner,Not defined,,POINT,328.985,328.985,NA,VIDEO\Waffle.MOV,9866,9866,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,bark/whine vocalization,Not defined,,POINT,335.522,335.522,NA,VIDEO\Waffle.MOV,10061,10061,,,,
Waffle,2024-12-19 21:49:23.228,,Media file,player #1:VIDEO\Waffle.MOV,0.0,1417.320,1473.312,29.970,No focal subject,240.613,bark/whine vocalization,Not defined,,POINT,361.100,361.100,NA,VIDEO\Waffle.MOV,10828,10828,,,,
