Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Original_BehaviorType,Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop,Time,Behavior type,Stop (s).x
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,looking at owner,Not defined,NA,NA,VIDEO\Waffle.MOV,8699,8699,NA,NA,NA,NA,290.1,POINT,290.1
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,looking at owner,Not defined,NA,NA,VIDEO\Waffle.MOV,9326,9326,NA,NA,NA,NA,311.01,POINT,311.01
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,looking at owner,Not defined,NA,NA,VIDEO\Waffle.MOV,9866,9866,NA,NA,NA,NA,328.985,POINT,328.985
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,looking at owner,Not defined,NA,NA,VIDEO\Waffle.MOV,11296,11296,NA,NA,NA,NA,376.707,POINT,376.707
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,alternating gaze,Not defined,NA,NA,VIDEO\Waffle.MOV,11883,13272,NA,NA,NA,NA,396.283,POINT,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,14601,14628,NA,NA,NA,NA,486.925,START,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,14601,14628,NA,NA,NA,NA,487.825,STOP,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,14663,14700,NA,NA,NA,NA,488.992,START,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,14663,14700,NA,NA,NA,NA,490.227,STOP,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,14745,14805,NA,NA,NA,NA,491.727,START,NA
