Observation id,Behavior,Behavior type,Start (s),Stop (s),coder
Cache,interacting with tupperware,STATE,294.164,300.104,Amanda
Cache,interacting with tupperware,STATE,302.051,302.252,Amanda
Cache,interacting with tupperware,STATE,305.709,312.791,Amanda
Cache,alternating gaze,POINT,307.857,307.857,Amanda
Cache,interacting with tupperware,STATE,313.462,313.563,Amanda
Cache,interacting with tupperware,STATE,314.268,314.402,Amanda
Cache,interacting with tupperware,STATE,314.637,318.966,Amanda
Cache,alternating gaze,POINT,317.657,317.657,Amanda
Cache,interacting with tupperware,STATE,319.872,320.04,Amanda
Cache,interacting with tupperware,STATE,320.376,320.913,Amanda
Cache,interacting with tupperware,STATE,321.148,321.55,Amanda
Cache,interacting with tupperware,STATE,321.718,322.356,Amanda
Cache,interacting with tupperware,STATE,324.135,324.437,Amanda
Cache,interacting with tupperware,STATE,324.672,324.94,Amanda
Cache,interacting with tupperware,STATE,326.115,326.35,Amanda
Cache,interacting with tupperware,STATE,327.256,328.498,Amanda
Cache,alternating gaze,POINT,329.672,329.672,Amanda
Cache,looking at owner,POINT,330.478,330.478,Amanda
Cache,soundboard press,POINT,334.975,334.975,Amanda
Cache,soundboard press,POINT,335.512,335.512,Amanda
Cache,soundboard press,POINT,345.614,345.614,Amanda
Cache,looking at owner,POINT,346.688,346.688,Amanda
Cache,soundboard press,POINT,356.556,356.556,Amanda
Cache,looking at owner,POINT,357.596,357.596,Amanda
Cache,looking at owner,POINT,379.547,379.547,Amanda
Cache,looking at owner,POINT,385.152,385.152,Amanda
Cache,looking at owner,POINT,406.263,406.263,Amanda
Cache,End,POINT,465.03,465.03,Amanda
Cache,Start,POINT,547.828,547.828,Amanda
Cache,looking at owner,POINT,547.862,547.862,Amanda
Cache,alternating gaze,POINT,549.07,549.07,Amanda
Cache,interacting with tupperware,STATE,552.829,556.79,Amanda
Cache,interacting with tupperware,STATE,557.629,557.931,Amanda
Cache,interacting with tupperware,STATE,558.367,558.971,Amanda
Cache,interacting with tupperware,STATE,559.139,566.019,Amanda
Cache,interacting with tupperware,STATE,568.537,569.275,Amanda
Cache,interacting with tupperware,STATE,572.195,572.53,Amanda
Cache,interacting with tupperware,STATE,572.866,573.436,Amanda
Cache,interacting with tupperware,STATE,573.806,577.296,Amanda
Cache,interacting with tupperware,STATE,578.571,579.31,Amanda
Cache,interacting with tupperware,STATE,580.417,598.977,Amanda
Cache,interacting with tupperware,STATE,599.279,600.051,Amanda
Cache,interacting with tupperware,STATE,601.092,601.561,Amanda
Cache,interacting with tupperware,STATE,604.28,604.481,Amanda
Cache,interacting with tupperware,STATE,605.354,605.488,Amanda
Cache,interacting with tupperware,STATE,605.992,608.61,Amanda
Cache,interacting with tupperware,STATE,610.086,611.53,Amanda
Cache,interacting with tupperware,STATE,612.872,615.523,Amanda
Cache,interacting with tupperware,STATE,616.866,617.168,Amanda
Cache,interacting with tupperware,STATE,618.476,621.463,Amanda
Cache,interacting with tupperware,STATE,622.839,623.309,Amanda
Cache,interacting with tupperware,STATE,623.443,625.59,Amanda
Cache,interacting with tupperware,STATE,625.758,626.06,Amanda
Cache,interacting with tupperware,STATE,627.973,628.208,Amanda
Cache,interacting with tupperware,STATE,628.611,628.913,Amanda
Cache,interacting with tupperware,STATE,629.215,629.383,Amanda
Cache,interacting with tupperware,STATE,629.819,634.517,Amanda
Cache,looking at owner,POINT,634.081,634.081,Amanda
Cache,interacting with tupperware,STATE,640.658,644.249,Amanda
Cache,looking at owner,POINT,648.645,648.645,Amanda
Cache,looking at owner,POINT,649.35,649.35,Amanda
Cache,soundboard press,POINT,670.86,670.86,Amanda
Cache,soundboard press,POINT,678.411,678.411,Amanda
Cache,looking at owner,POINT,679.652,679.652,Amanda
Cache,End,POINT,727.845,727.845,Amanda
Cache,Start,POINT,801.944,801.944,Amanda
Cache,looking at owner,POINT,801.977,801.977,Amanda
Cache,alternating gaze,POINT,803.118,803.118,Amanda
Cache,interacting with tupperware,STATE,805.669,806.038,Amanda
Cache,interacting with tupperware,STATE,807.85,808.119,Amanda
Cache,interacting with tupperware,STATE,808.421,808.79,Amanda
Cache,interacting with tupperware,STATE,808.958,809.26,Amanda
Cache,interacting with tupperware,STATE,809.461,809.528,Amanda
Cache,interacting with tupperware,STATE,811.374,811.81,Amanda
Cache,interacting with tupperware,STATE,812.079,812.314,Amanda
Cache,interacting with tupperware,STATE,812.649,812.985,Amanda
Cache,interacting with tupperware,STATE,813.354,813.723,Amanda
Cache,interacting with tupperware,STATE,814.159,815.736,Amanda
Cache,interacting with tupperware,STATE,816.206,816.441,Amanda
Cache,interacting with tupperware,STATE,816.743,816.945,Amanda
Cache,interacting with tupperware,STATE,817.247,817.481,Amanda
Cache,interacting with tupperware,STATE,817.75,818.086,Amanda
Cache,interacting with tupperware,STATE,818.354,818.69,Amanda
Cache,interacting with tupperware,STATE,818.824,819.898,Amanda
Cache,interacting with tupperware,STATE,820.367,820.703,Amanda
Cache,interacting with tupperware,STATE,820.804,821.039,Amanda
Cache,interacting with tupperware,STATE,821.576,826.173,Amanda
Cache,interacting with tupperware,STATE,826.374,831.576,Amanda
Cache,interacting with tupperware,STATE,832.381,837.012,Amanda
Cache,looking at owner,POINT,834.194,834.194,Amanda
Cache,looking at owner,POINT,835.704,835.704,Amanda
Cache,interacting with tupperware,STATE,837.751,839.093,Amanda
Cache,interacting with tupperware,STATE,839.597,839.798,Amanda
Cache,interacting with tupperware,STATE,840.134,840.301,Amanda
Cache,interacting with tupperware,STATE,840.603,840.805,Amanda
Cache,interacting with tupperware,STATE,841.14,841.308,Amanda
Cache,interacting with tupperware,STATE,841.677,841.879,Amanda
Cache,interacting with tupperware,STATE,842.248,842.583,Amanda
Cache,interacting with tupperware,STATE,842.852,843.087,Amanda
Cache,interacting with tupperware,STATE,843.389,843.657,Amanda
Cache,interacting with tupperware,STATE,844.026,844.228,Amanda
Cache,interacting with tupperware,STATE,844.899,845.268,Amanda
Cache,interacting with tupperware,STATE,845.536,845.838,Amanda
Cache,interacting with tupperware,STATE,846.073,846.342,Amanda
Cache,interacting with tupperware,STATE,846.61,846.845,Amanda
Cache,interacting with tupperware,STATE,847.113,847.348,Amanda
Cache,interacting with tupperware,STATE,847.818,848.187,Amanda
Cache,interacting with tupperware,STATE,848.489,853.691,Amanda
Cache,interacting with tupperware,STATE,854.832,863.254,Amanda
Cache,interacting with tupperware,STATE,865.1,865.335,Amanda
Cache,interacting with tupperware,STATE,867.147,869.026,Amanda
Cache,interacting with tupperware,STATE,869.261,870.738,Amanda
Cache,interacting with tupperware,STATE,870.905,871.14,Amanda
Cache,interacting with tupperware,STATE,871.409,872.516,Amanda
Cache,interacting with tupperware,STATE,872.617,873.087,Amanda
Cache,interacting with tupperware,STATE,874.026,874.228,Amanda
Cache,interacting with tupperware,STATE,874.63,874.798,Amanda
Cache,interacting with tupperware,STATE,875.738,875.905,Amanda
Cache,interacting with tupperware,STATE,876.879,877.113,Amanda
Cache,interacting with tupperware,STATE,877.516,878.758,Amanda
Cache,interacting with tupperware,STATE,879.429,879.63,Amanda
Cache,interacting with tupperware,STATE,879.731,879.899,Amanda
Cache,interacting with tupperware,STATE,880.201,880.469,Amanda
Cache,interacting with tupperware,STATE,880.603,881.174,Amanda
Cache,interacting with tupperware,STATE,881.308,881.912,Amanda
Cache,interacting with tupperware,STATE,882.785,883.624,Amanda
Cache,interacting with tupperware,STATE,885.134,885.369,Amanda
Cache,interacting with tupperware,STATE,885.503,885.738,Amanda
Cache,interacting with tupperware,STATE,886.107,886.308,Amanda
Cache,interacting with tupperware,STATE,886.543,886.845,Amanda
Cache,interacting with tupperware,STATE,887.181,887.282,Amanda
Cache,interacting with tupperware,STATE,887.651,887.852,Amanda
