"","Observation id","Behavior","Behavior type","Start (s)","Stop (s)","coder"
"266","Mokai","interacting with tupperware","STATE",975.043,975.443,"Chaewon"
"267","Mokai","interacting with tupperware","STATE",975.643,976.01,"Chaewon"
"268","Mokai","interacting with tupperware","STATE",976.21,977.21,"Chaewon"
"269","Mokai","interacting with tupperware","STATE",977.31,977.977,"Chaewon"
"270","Mokai","interacting with tupperware","STATE",978.477,978.943,"Chaewon"
"271","Mokai","interacting with tupperware","STATE",979.277,980.377,"Chaewon"
"272","Mokai","interacting with tupperware","STATE",980.443,981.412,"Chaewon"
"273","Mokai","interacting with tupperware","STATE",982.212,986.378,"Chaewon"
"274","Mokai","interacting with tupperware","STATE",986.612,987.412,"Chaewon"
"275","Mokai","interacting with tupperware","STATE",987.612,987.878,"Chaewon"
"276","Mokai","interacting with tupperware","STATE",989.678,989.978,"Chaewon"
"277","Mokai","interacting with tupperware","STATE",995.647,996.213,"Chaewon"
"278","Mokai","interacting with tupperware","STATE",996.547,997.213,"Chaewon"
"279","Mokai","interacting with tupperware","STATE",999.58,1000.513,"Chaewon"
"280","Mokai","bark/whine vocalization","POINT",1002.113,1002.113,"Chaewon"
"281","Mokai","bark/whine vocalization","POINT",1005.482,1005.482,"Chaewon"
"282","Mokai","looking at owner","POINT",1035.418,1035.418,"Chaewon"
"283","Mokai","alternating gaze","POINT",41.207,41.207,"Chaewon"
"284","Mokai","alternating gaze","POINT",72.677,72.677,"Chaewon"
"285","Mokai","alternating gaze","POINT",119.952,119.952,"Chaewon"
"286","Mokai","alternating gaze","POINT",330.515,330.515,"Chaewon"
"287","Mokai","alternating gaze","POINT",540.547,540.547,"Chaewon"
"288","Mokai","alternating gaze","POINT",637.793,637.793,"Chaewon"
"289","Mokai","alternating gaze","POINT",996.547,996.547,"Chaewon"
"290","Mokai","alternating gaze","POINT",46.673,46.673,"Chaewon"
"291","Mokai","alternating gaze","POINT",104.315,104.315,"Chaewon"
"292","Mokai","alternating gaze","POINT",131.187,131.187,"Chaewon"
"293","Mokai","alternating gaze","POINT",344.917,344.917,"Chaewon"
"294","Mokai","alternating gaze","POINT",579.718,579.718,"Chaewon"
"295","Mokai","alternating gaze","POINT",641.428,641.428,"Chaewon"
"296","Mokai","alternating gaze","POINT",1000.98,1000.98,"Chaewon"
"297","Waffle","interacting with tupperware","STATE",24.345,24.778,"Chaewon"
"298","Waffle","interacting with tupperware","STATE",30.38,35.617,"Chaewon"
"299","Waffle","interacting with tupperware","STATE",36.483,37.483,"Chaewon"
"300","Waffle","interacting with tupperware","STATE",38.385,38.985,"Chaewon"
"301","Waffle","interacting with tupperware","STATE",55.292,56.593,"Chaewon"
"302","Waffle","interacting with tupperware","STATE",59.895,66.163,"Chaewon"
"303","Waffle","interacting with tupperware","STATE",66.43,85.107,"Chaewon"
"304","Waffle","interacting with tupperware","STATE",86.04,86.94,"Chaewon"
"305","Waffle","interacting with tupperware","STATE",89.842,97.278,"Chaewon"
"306","Waffle","interacting with tupperware","STATE",97.512,97.712,"Chaewon"
